custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,city_BOM,city_DEL,city_MAA,city_BLR,favday_Monday,favday_Tuesday,favday_Friday,favday_Thursday,favday_Wednesday,favday_Saturday,favday_Sunday,created_year,created_month,firstorder_year,firstorder_month,lastorder_year,lastorder_month
YMALVV,1,2010-09-22,2010-11-18,2014-01-15,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010,8,2010,10,2014,0
GW8NT7,1,2009-11-16,2011-05-09,2014-01-05,40,87.5,45.0,88.3,0.088477366,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2009,10,2011,4,2014,0
TFKLD4,1,2009-07-25,2010-11-15,2014-01-19,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,6,2010,10,2014,0
RAQ92T,1,2010-03-14,2011-03-01,2013-10-06,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,2,2011,2,2013,9
DMJERJ,0,2011-04-11,2011-04-14,2014-01-13,16,12.5,0.0,59.25,0.129353234,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,3,2011,3,2014,0
FJKD8W,1,2011-03-08,2011-03-27,2014-01-07,45,60.0,15.55555556,49.73,0.044247788,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,2,2011,2,2014,0
HEPCW7,0,2010-10-02,2011-01-25,2014-01-12,13,61.53846154,15.38461538,156.54,0.119113573,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,9,2011,0,2014,0
2JZAE3,1,2010-08-30,2012-03-12,2013-10-15,48,8.333333333,2.083333333,101.06,0.037800687,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,7,2012,2,2013,9
BYS2DU,1,2011-02-02,2011-04-10,2014-01-19,57,17.54385965,0.0,14.02,0.066009852,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1,2011,3,2014,0
F6MHUM,1,2010-09-14,2011-05-03,2014-01-15,46,65.2173913,8.695652174,79.39,0.069838057,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,8,2011,4,2014,0
LSL6QK,0,2011-02-22,2011-05-02,2011-05-02,0,0.0,0.0,29.17,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1,2011,4,2011,4
9SVNMF,1,2010-12-18,2010-12-19,2012-07-18,47,2.127659574,0.0,79.88,0.006932409,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,11,2010,11,2012,6
JPBBEP,1,2010-08-12,2012-08-22,2013-05-01,47,19.14893617,10.63829787,115.25,0.138888889,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,7,2012,7,2013,4
3ML22U,0,2011-03-10,2011-04-24,2012-11-14,0,0.0,0.0,76.67,0.007017544,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,2,2011,3,2012,10
N297FU,0,2010-04-24,2010-12-20,2011-11-17,0,0.0,0.0,35.86,0.006024096,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,3,2010,11,2011,10
JD96M8,1,2011-01-26,2011-06-13,2011-08-02,18,0.0,0.0,85.61,0.08,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,5,2011,7
PLM5WZ,0,2009-11-17,2009-11-24,2013-10-08,0,0.0,0.0,75.54,0.007072136,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,10,2009,10,2013,9
F3MF5Y,1,2010-07-24,2010-07-29,2011-11-28,31,100.0,9.677419355,59.67,0.016427105,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,6,2010,6,2011,10
2GHDRJ,1,2009-07-24,2010-05-23,2013-03-07,46,6.52173913,4.347826087,59.11,0.015701668,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,6,2010,4,2013,2
KZHTJ7,1,2011-01-26,2011-02-28,2013-12-17,49,36.73469388,20.40816327,33.87,0.026392962,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,1,2013,11
WXBP2F,1,2010-08-28,2011-05-17,2011-06-14,16,0.0,0.0,64.82,0.071428571,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,7,2011,4,2011,5
RJYYJ9,1,2011-01-29,2012-08-19,2012-08-19,45,11.11111111,0.0,60.94,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,0,2012,7,2012,7
MZ8L3N,1,2011-02-09,2011-03-20,2011-11-03,40,2.5,2.5,94.28,0.021929825,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,1,2011,2,2011,10
UCVGQ9,1,2011-03-07,2011-03-14,2013-09-11,48,12.5,2.083333333,103.39,0.013157895,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,2,2011,2,2013,8
4W84UJ,0,2009-04-24,2009-04-24,2009-04-24,0,0.0,0.0,15.64,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,3,2009,3,2009,3
LMVN3V,1,2010-05-18,2010-06-02,2012-03-08,45,17.77777778,2.222222222,117.97,0.03255814,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,4,2010,5,2012,2
CZTUVU,1,2010-09-13,2011-11-07,2012-09-28,47,2.127659574,0.0,37.24,0.036809816,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,8,2011,10,2012,8
3TJT3R,1,2011-04-22,2011-04-28,2012-01-22,16,0.0,0.0,165.95,0.007434944,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,3,2011,3,2012,0
Q7RV8W,1,2010-08-20,2010-08-30,2010-08-30,45,0.0,0.0,74.74,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010,7,2010,7,2010,7
D5SNFS,0,2011-01-04,2011-04-13,2013-10-06,0,0.0,0.0,178.44,0.045203969,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,0,2011,3,2013,9
ANEWZC,0,2011-03-08,2011-03-08,2011-03-08,0,0.0,0.0,43.54,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,2,2011,2,2011,2
ZKL5JF,0,2011-01-20,2011-04-07,2012-04-12,0,0.0,0.0,103.64,0.016172507,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,0,2011,3,2012,3
EEKG4H,0,2009-11-10,2009-11-10,2009-11-10,0,0.0,0.0,28.63,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2009,10,2009,10,2009,10
AZJTMQ,0,2009-06-20,2009-07-13,2009-07-13,0,0.0,0.0,21.97,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009,5,2009,6,2009,6
HGBG96,0,2010-01-26,2010-02-01,2010-06-22,0,0.0,0.0,87.05,0.021276596,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,0,2010,1,2010,5
W97W6Q,1,2010-02-26,2010-04-10,2013-04-29,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,1,2010,3,2013,3
LGA8JT,1,2009-11-11,2010-04-12,2013-11-03,50,10.0,4.0,33.38,0.005380477,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,10,2010,3,2013,10
RZQEWF,1,2010-10-19,2010-10-19,2010-10-19,45,0.0,0.0,22.92,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,9,2010,9,2010,9
D4AEL5,0,2010-03-04,2011-03-02,2012-02-27,0,0.0,0.0,125.97,0.035911602,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,2011,2,2012,1
3PST7V,0,2011-02-10,2011-02-10,2011-03-24,0,0.0,0.0,37.01,0.047619048,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,1,2011,1,2011,2
T6ZAER,0,2009-07-19,2009-10-22,2009-11-17,0,0.0,0.0,61.85,0.269230769,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,6,2009,9,2009,10
C55RAB,0,2010-08-03,2010-08-09,2010-08-09,0,0.0,0.0,101.3,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,7,2010,7,2010,7
YRHUHV,1,2010-04-15,2010-10-04,2013-11-18,53,3.773584906,3.773584906,151.27,0.094653812,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,3,2010,9,2013,10
8SK2UB,1,2011-01-23,2011-02-07,2011-03-21,18,0.0,0.0,58.57,0.166666667,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,2011,1,2011,2
HZS3AJ,0,2010-09-07,2011-10-26,2011-10-26,0,0.0,0.0,55.9,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,8,2011,9,2011,9
GXDXR6,1,2010-06-21,2010-06-28,2011-06-27,18,0.0,0.0,132.31,0.027472527,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,5,2010,5,2011,5
LE9M9X,1,2011-04-12,2011-04-17,2011-04-17,16,0.0,0.0,91.9,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,3,2011,3,2011,3
B2LW75,1,2009-05-14,2010-03-12,2010-03-12,16,0.0,0.0,39.16,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,4,2010,2,2010,2
BNE3YV,1,2010-07-13,2011-03-28,2013-10-02,23,95.65217391,0.0,68.82,0.032644178,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,6,2011,2,2013,9
LJJEMA,1,2010-10-05,2013-10-26,2013-10-26,34,14.70588235,0.0,44.05,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,9,2013,9,2013,9
EBNK8A,0,2010-08-27,2010-09-07,2010-09-07,0,0.0,0.0,184.37,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,7,2010,8,2010,8
Z4YCW4,1,2010-06-14,2011-04-28,2013-07-01,41,43.90243902,0.0,27.11,0.065408805,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,5,2011,3,2013,6
FNWU29,0,2010-08-26,2010-09-23,2012-11-25,0,0.0,0.0,65.77,0.018891688,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,7,2010,8,2012,10
ARR4H6,1,2010-09-05,2010-09-06,2012-06-18,42,26.19047619,2.380952381,44.97,0.006144393,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,8,2010,8,2012,5
RACF5D,0,2010-09-20,2010-10-14,2010-10-14,0,0.0,0.0,69.69,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,8,2010,9,2010,9
64QBT7,0,2011-03-15,2011-03-28,2011-04-11,33,75.75757576,0.0,49.76,0.214285714,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,2,2011,2,2011,3
GK3EST,1,2010-06-16,2010-06-21,2010-06-21,16,0.0,0.0,81.95,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,5,2010,5,2010,5
W3TM2U,0,2010-11-03,2010-11-03,2012-02-06,0,0.0,0.0,134.18,0.015217391,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,10,2010,10,2012,1
MLX3EU,1,2008-10-02,2008-10-02,2008-10-02,14,0.0,0.0,63.18,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2008,9,2008,9,2008,9
BXWS2B,1,2009-11-29,2011-07-22,2014-01-08,45,77.77777778,20.0,42.62,0.064372919,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,10,2011,6,2014,0
C8UJQ3,1,2010-02-09,2010-03-30,2010-03-30,16,0.0,0.0,23.79,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,1,2010,2,2010,2
PFCF8Q,1,2010-07-12,2012-11-20,2012-11-20,46,93.47826087,15.2173913,165.07,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,6,2012,10,2012,10
NJR788,0,2010-08-18,2010-08-23,2010-08-23,0,0.0,0.0,29.68,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,7,2010,7,2010,7
J8SLPE,1,2009-08-07,2009-09-11,2013-10-10,45,4.444444444,2.222222222,39.41,0.006711409,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,7,2009,8,2013,9
GYH5AF,1,2011-01-18,2012-06-28,2012-06-28,47,2.127659574,0.0,73.07,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,0,2012,5,2012,5
4QRWVB,1,2010-08-17,2011-04-26,2011-10-23,18,0.0,0.0,50.87,0.072222222,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,7,2011,3,2011,9
VMYYX9,0,2010-01-23,2010-03-01,2010-10-11,0,0.0,0.0,35.09,0.09375,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0,2010,2,2010,9
CF5K35,1,2011-02-03,2011-02-03,2011-03-27,42,38.0952381,0.0,85.37,0.076923077,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1,2011,1,2011,2
XQK2CK,0,2010-12-08,2010-12-08,2010-12-08,0,0.0,0.0,60.3,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,11,2010,11,2010,11
FM7VFL,1,2009-10-05,2009-10-16,2011-10-18,44,25.0,11.36363636,117.32,0.032786885,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,9,2009,9,2011,9
7PEMUD,1,2009-11-30,2009-11-30,2012-11-13,47,0.0,0.0,105.45,0.003707136,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,10,2009,10,2012,10
A3XBE,1,2011-04-11,2011-04-11,2012-07-29,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,3,2011,3,2012,6
EQSD5E,1,2008-10-07,2009-12-21,2009-12-21,45,6.666666667,0.0,52.4,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008,9,2009,11,2009,11
CT3NDS,1,2011-03-23,2011-03-23,2014-01-03,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,2,2011,2,2014,0
C6HVXN,1,2010-04-16,2012-04-20,2012-04-20,16,0.0,0.0,33.57,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,3,2012,3,2012,3
ARP342,0,2010-05-01,2011-05-09,2011-05-09,0,0.0,0.0,83.04,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,4,2011,4,2011,4
7PALQK,0,2010-04-15,2011-04-14,2011-07-28,0,0.0,0.0,54.82,0.076190476,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,3,2011,3,2011,6
S5DZ4Y,1,2010-07-12,2010-07-26,2011-11-14,47,2.127659574,0.0,20.54,0.008403361,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,6,2010,6,2011,10
Z7QFN7,1,2009-04-30,2009-05-07,2009-05-07,16,0.0,0.0,53.36,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,3,2009,4,2009,4
TGYGPC,1,2011-01-09,2011-02-01,2012-07-19,42,16.66666667,2.380952381,27.74,0.005617978,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,0,2011,1,2012,6
DVRYSK,0,2011-04-06,2011-04-06,2011-04-06,0,0.0,0.0,25.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,3,2011,3,2011,3
HTJNCB,1,2010-10-11,2010-10-11,2011-01-12,39,35.8974359,0.0,130.51,0.021505376,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,9,2010,9,2011,0
3VCXN,0,2011-04-10,2011-05-01,2012-05-13,0,0.0,0.0,141.97,0.015873016,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,3,2011,4,2012,4
SGU3PB,0,2010-03-31,2010-09-12,2011-10-12,0,0.0,0.0,47.5,0.010126582,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,2,2010,8,2011,9
PXXTWN,0,2010-05-03,2010-07-05,2010-11-11,0,0.0,0.0,111.86,0.054263566,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,4,2010,6,2010,10
U9ZQQP,1,2010-12-01,2011-06-12,2013-07-22,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010,11,2011,5,2013,6
M87HQT,0,2010-09-03,2010-09-24,2011-03-17,0,0.0,0.0,109.16,0.022988506,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,8,2010,8,2011,2
564EL5,0,2010-06-19,2010-06-30,2010-06-30,0,0.0,0.0,27.6,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,5,2010,5,2010,5
S7B2TP,1,2010-09-06,2011-08-21,2011-08-21,38,28.94736842,18.42105263,54.62,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010,8,2011,7,2011,7
PA38W9,0,2010-09-21,2011-03-10,2011-03-10,0,0.0,0.0,37.2,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,8,2011,2,2011,2
5DDKKP,1,2009-11-13,2009-11-13,2009-11-13,40,22.5,0.0,139.88,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,10,2009,10,2009,10
BUMVQN,0,2010-02-15,2010-02-22,2010-02-22,0,0.0,0.0,57.3,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,2010,1,2010,1
ZPR8KQ,1,2009-02-16,2010-09-20,2013-12-02,52,3.846153846,1.923076923,59.35,0.020530368,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,1,2010,8,2013,11
EG43ET,1,2011-02-21,2011-02-28,2012-02-20,34,79.41176471,17.64705882,44.25,0.014005602,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1,2011,1,2012,1
QKYBFL,1,2010-08-23,2011-01-26,2011-03-31,18,0.0,0.0,18.42,0.203125,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,7,2011,0,2011,2
2NV3SY,1,2011-01-25,2011-02-01,2011-02-01,40,25.0,0.0,302.43,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011,0,2011,1,2011,1
YUA6VH,1,2011-03-17,2011-05-05,2011-05-27,47,2.127659574,0.0,50.79,0.272727273,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,2,2011,4,2011,4
ME8GM2,1,2010-02-12,2011-10-04,2013-11-05,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,1,2011,9,2013,10
ELJFL7,1,2011-02-08,2011-02-08,2011-07-19,41,21.95121951,14.63414634,72.66,0.01863354,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011,1,2011,1,2011,6
37TL6Y,1,2011-03-10,2011-05-13,2011-05-20,16,0.0,0.0,71.96,0.285714286,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,2,2011,4,2011,4
VSDFDY,1,2009-10-29,2009-10-29,2009-11-22,16,0.0,0.0,37.81,0.083333333,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,9,2009,9,2009,10
XWM9F2,1,2011-02-06,2012-07-02,2012-07-02,42,23.80952381,0.0,16.14,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1,2012,6,2012,6
248PRB,1,2010-06-27,2010-08-31,2013-11-06,45,22.22222222,8.888888889,104.22,0.012897678,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,5,2010,7,2013,10
EDHT4T,1,2011-03-01,2011-03-13,2011-04-11,42,23.80952381,0.0,86.73,0.103448276,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,2,2011,2,2011,3
2K94VS,1,2010-08-25,2010-08-25,2010-08-25,44,29.54545455,0.0,30.57,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010,7,2010,7,2010,7
PBCL4J,0,2009-07-14,2009-07-14,2009-07-14,0,0.0,0.0,23.65,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009,6,2009,6,2009,6
E3JPX3,0,2010-09-12,2011-02-10,2011-02-17,0,0.0,0.0,120.14,0.714285714,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,8,2011,1,2011,1
5CLFNM,1,2010-12-09,2010-12-22,2013-12-15,46,6.52173913,0.0,70.32,0.019283747,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,11,2010,11,2013,11
